representative_ICE,ICE_fullname,pairwise_identity_w_representative_ICE_excl_transposase,transposase_insertion_vs_representative_ICE,ICE_host_strain_ID,RSSC_lineage,year_of_isolation,global_region_of_isolation,country_of_isolation,area_or_nearest_village,material_of_isolation,Clade_of_isolation,order_of_isolation,host_genus_of_isolation,host_spp_of_isolation
ICERso_RUN1145,RUN0759_ICE,100,,RUN0759,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0760_ICE,100,,RUN0760,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0762_ICE,100,,RUN0762,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0763_ICE,100,,RUN0763,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Jospeh,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0766_ICE,100,,RUN0766,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0767_ICE,100,,RUN0767,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lamentin,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0768_ICE,100,,RUN0768,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0769_ICE,100,,RUN0769,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lamentin,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0770_ICE,100,,RUN0770,RsoIIB4NPB,2002,Caribbean,Martinique,Le Marin,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita moschata
ICERso_RUN1145,RUN0772_ICE,100,,RUN0772,RsoIIB4NPB,2002,Caribbean,Martinique,Le Marin,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita moschata
ICERso_RUN1145,RUN0776_ICE,100,,RUN0776,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0777_ICE,100,,RUN0777,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,RUN0780_ICE,100,,RUN0780,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,RUN0786_ICE,100,,RUN0786,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0787_ICE,100,,RUN0787,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0788_ICE,100,,RUN0788,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0789_ICE,100,,RUN0789,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0790_ICE,100,,RUN0790,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0791_ICE,100,,RUN0791,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0795_ICE,100,,RUN0795,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0799_ICE,100,,RUN0799,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0801_ICE,100,,RUN0801,RsoIIB4NPB,2002,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Cucurbitales,Citrullus,Citrullus lanatus
ICERso_RUN1145,RUN0802_ICE,100,,RUN0802,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0806_ICE,100,,RUN0806,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0808_ICE,100,,RUN0808,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0809_ICE,100,,RUN0809,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0810_ICE,100,,RUN0810,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0813_ICE,100,,RUN0813,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0815_ICE,100,,RUN0815,RsoIIB4NPB,2007,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0816_ICE,100,,RUN0816,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0823_ICE,100,,RUN0823,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0824_ICE,100,,RUN0824,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0827_ICE,100,,RUN0827,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0828_ICE,100,,RUN0828,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0833_ICE,100,,RUN0833,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0836_ICE,100,,RUN0836,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0840_ICE,100,,RUN0840,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0841_ICE,100,,RUN0841,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0985_ICE,100,,RUN0985,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1046_ICE,100,,RUN1046,RsoIIB4NPB,2005,Caribbean,Martinique,Gros Morne,water_river_baited,Environmental,Environmental,Water,water_river_baited_Solanum
ICERso_RUN1145,RUN1052_ICE,100,,RUN1052,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1061_ICE,100,,RUN1061,RsoIIB4NPB,2005,Caribbean,Martinique,Ducos,water_lake_baited_Solanum,Environmental,Environmental,Water,water_lake_baited_Solanum
ICERso_RUN1145,RUN1062_ICE,100,,RUN1062,RsoIIB4NPB,2005,Caribbean,Martinique,Ducos,water_lake_baited_Solanum,Environmental,Environmental,Water,water_lake_baited_Solanum
ICERso_RUN1145,RUN1064_ICE,100,,RUN1064,RsoIIB4NPB,2005,Caribbean,Martinique,Ducos,water_lake_baited_Solanum,Environmental,Environmental,Water,water_lake_baited_Solanum
ICERso_RUN1145,RUN1069_ICE,100,,RUN1069,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1070_ICE,100,,RUN1070,RsoIIB4NPB,2002,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1072_ICE,100,,RUN1072,RsoIIB4NPB,2004,Caribbean,Martinique,Le Francois,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN1075_ICE,100,,RUN1075,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1081_ICE,100,,RUN1081,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1082_ICE,100,,RUN1082,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1083_ICE,100,,RUN1083,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Heliconia,Heliconia caribea
ICERso_RUN1145,RUN1094_ICE,100,,RUN1094,RsoIIB4NPB,2005,Caribbean,Martinique,Gros Morne,water_river,Environmental,Environmental,Water,water_river
ICERso_RUN1145,RUN1096_ICE,100,,RUN1096,RsoIIB4NPB,2002,Caribbean,Martinique,Le Francois,plant,Eudicot,Cucurbitales,Cucumis,Cucumis melo
ICERso_RUN1145,RUN1098_ICE,100,,RUN1098,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Joseph,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1099_ICE,100,,RUN1099,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1104_ICE,100,,RUN1104,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1105_ICE,100,,RUN1105,RsoIIB4NPB,2003,Caribbean,Martinique,Le Lamentin,plant,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAA
ICERso_RUN1145,RUN1121_ICE,100,,RUN1121,RsoIIB4NPB,2005,Caribbean,Martinique,Ducos,water_lake_baited_Solanum,Environmental,Environmental,Water,water_lake_baited_Solanum
ICERso_RUN1145,RUN1127_ICE,100,,RUN1127,RsoIIB4NPB,2001,Caribbean,Martinique,,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1130_ICE,100,,RUN1130,RsoIIB4NPB,2007,Caribbean,Martinique,Vauclin,plant,Eudicot,Cucurbitales,Cucumis,Cucumis melo
ICERso_RUN1145,RUN1132_ICE,100,,RUN1132,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo
ICERso_RUN1145,RUN1133_ICE,100,,RUN1133,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo
ICERso_RUN1145,RUN1134_ICE,100,,RUN1134,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo
ICERso_RUN1145,RUN1136_ICE,100,,RUN1136,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN1137_ICE,100,,RUN1137,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN1138_ICE,100,,RUN1138,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo
ICERso_RUN1145,RUN1139_ICE,100,,RUN1139,RsoIIB4NPB,2007,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1140_ICE,100,,RUN1140,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1142_ICE,100,,RUN1142,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1145_ICE,NA,,RUN1145,RsoIIB4NPB,2003,Caribbean,Martinique,Saint Esprit,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita moschata
ICERso_RUN1145,RUN1146_ICE,100,,RUN1146,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1148_ICE,100,,RUN1148,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1151_ICE,100,,RUN1151,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1160_ICE,100,,RUN1160,RsoIIB4NPB,2003,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1166_ICE,100,,RUN1166,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Heliconia,Heliconia rostrata
ICERso_RUN1145,RUN1167_ICE,100,,RUN1167,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Pierre,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1171_ICE,100,,RUN1171,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Heliconia,Heliconia rostrata
ICERso_RUN1145,RUN1173_ICE,100,,RUN1173,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Heliconia,Heliconia rostrata
ICERso_RUN1145,RUN1174_ICE,100,,RUN1174,RsoIIB4NPB,2006,South America,French Guiana,Macouria,water,Environmental,Environmental,Water,water
ICERso_RUN1145,RUN1175_ICE,100,,RUN1175,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lamentin,plant,Eudicot,Solanales,Physalis,Physalis angulata
ICERso_RUN1145,RUN1188_ICE,100,,RUN1188,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1189_ICE,100,,RUN1189,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1190_ICE,100,,RUN1190,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1191_ICE,100,,RUN1191,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,water_irrigation,Environmental,Environmental,Water,water_irrigation
ICERso_RUN1145,RUN1192_ICE,100,,RUN1192,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1193_ICE,100,,RUN1193,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1194_ICE,100,,RUN1194,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1195_ICE,100,,RUN1195,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1207_ICE,100,,RUN1207,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1209_ICE,100,,RUN1209,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1210_ICE,100,,RUN1210,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,RUN1211_ICE,100,,RUN1211,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1212_ICE,100,,RUN1212,RsoIIB4NPB,2007,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1226_ICE,100,,RUN1226,RsoIIB4NPB,2005,Caribbean,Martinique,Gros Morne,water_river_baited,Environmental,Environmental,Water,water_river_baited_Solanum
ICERso_RUN1145,RUN1227_ICE,100,,RUN1227,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1229_ICE,100,,RUN1229,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lamentin,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1230_ICE,100,,RUN1230,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lamentin,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1233_ICE,100,,RUN1233,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1249_ICE,100,,RUN1249,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN1267_ICE,100,,RUN1267,RsoIIB4NPB,2004,Caribbean,Martinique,Trinite,plant,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAB
ICERso_RUN1145,RUN1947_ICE,100,,RUN1947,RsoIIB4NPB,2011,South America,French Guiana,Cacao,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1951_ICE,100,,RUN1951,RsoIIB4NPB,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1953_ICE,100,,RUN1953,RsoIIB4NPB,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1956_ICE,100,,RUN1956,RsoIIB4NPB,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1957_ICE,100,,RUN1957,RsoIIB4NPB,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1959_ICE,100,,RUN1959,RsoIIB4NPB,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1960_ICE,100,,RUN1960,RsoIIB4NPB,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1965_ICE,100,,RUN1965,RsoIIB4NPB,2011,South America,French Guiana,Mana,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN1966_ICE,100,,RUN1966,RsoIIB4NPB,2011,South America,French Guiana,Wayabo,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERso_RUN1145,RUN1967_ICE,100,,RUN1967,RsoIIB4NPB,2011,South America,French Guiana,Wayabo,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERso_RUN1145,RUN1968_ICE,100,,RUN1968,RsoIIB4NPB,2011,South America,French Guiana,Wayabo,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERso_RUN1145,RUN1970_ICE,100,,RUN1970,RsoIIB4NPB,2011,South America,French Guiana,Mana,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1973_ICE,100,,RUN1973,RsoIIB4NPB,2011,South America,French Guiana,Mana,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1980_ICE,100,,RUN1980,RsoIIB4NPB,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1982_ICE,100,,RUN1982,RsoIIB4NPB,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1983_ICE,100,,RUN1983,RsoIIB4NPB,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN1992_ICE,100,,RUN1992,RsoIIB4NPB,2011,South America,French Guiana,Cacao,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo
ICERso_RUN1145,RUN1997_ICE,100,,RUN1997,RsoIIB4NPB,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERsy_T98,SL3175_ICE,100,,SL3175,Rsy,1999,Asia,South Korea,,,Eudicot,Solanales,Solanum,Solanum tuberosum
ICERsy_T98,T98_ICE,100,,T98,Rsy,2003,Asia,South Korea,,,Eudicot,Solanales,Solanum,Solanum tuberosum
